name,abbreviation
Behavior,behavior
Behavior videos,behavior-videos
Confocal microscopy,confocal
Extracellular electrophysiology,ecephys
Electromyography,EMG
Fluorescence micro-optical sectioning tomography,fMOST
Intracellular electrophysiology,icephys
Intrinsic signal imaging,ISI
Fiber photometry,fib
Multiplexed error-robust fluorescence in situ hybridization,merfish
Magnetic resonance imaging,MRI
Planar optical physiology,ophys
Scanned line projection imaging,slap
Selective plane illumination microscopy,SPIM
