name,species_registry_abbreviation,species_registry_identifier,strain,strain_registry_abbreviation,strain_registry_identifier,common_name
Callithrix jacchus,NCBI,txid9483,default,,,Common marmoset
Homo sapiens,NCBI,txid9606,default,,,Human
Macaca mulatta,NCBI,txid9544,default,,,Rhesus macaque
Mus musculus,NCBI,txid10090,C57BL/6J,MGI,3028467,House mouse
Mus musculus,NCBI,txid10090,BALB/c,MGI,2159737,House mouse
Mus musculus,NCBI,txid10090,Unknown,,,House mouse
Rattus norvegicus,NCBI,txid10116,default,,,Norway rat
Gallus gallus,NCBI,txid9031,default,,,Chicken
Oryctolagus cuniculus,NCBI,txid9986,default,,,European rabbit
Cavia porcellus,NCBI,txid10141,default,,,Guinea pig
Carpa hircus,NCBI,txid9925,default,,,Goat
Equus asinus,NCBI,txid9793,default,,,Donkey
Lama glama,NCBI,txid9844,default,,,Llama
Vicuna pacos,NCBI,txid30538,default,,,Alpaca
